id,text,label
45,事項；所需工作人員，由中央主管機關指派現職人員兼任之。,
46,第 9 條,
47,1   審查會開會時，應有二分之一以上委員出席，其決議事項應有出席委員三分之二以上同意行之。,
48,2   審查會開會時，因案情需要，得邀請專家學者及與議決事項有關之其他行政機關、相關單位或人,
49,員列席，陳述事實或提供意見。,
50,3   前項出席之專家學者，得依規定支領出席費。,
51,第 10 條,
52,委員有下列各款情形之一者，應自行迴避：,
53,一、本人或其配偶、前配偶、四親等內之血親、三親等內血親之配偶、配偶之三親等內血親或其,
54,配偶，或曾有此關係者為事件之當事人時。,
55,二、本人或其配偶、前配偶，就該事件與當事人有共同權利人或共同義務人之關係。,
56,三、現為或曾為該事件當事人之代理人、輔佐人。,
57,四、於該事件曾為證人、鑑定人。,
58,第 11 條,
59,中央主管機關於接獲主管機關報請事業單位有第三條之情事時，應於三日內召開審查會審查。,
60,第 12 條,
61,事業單位代表人及實際負責人經禁止出國者，於有本法第十六條之情形時，中央主管機關應即請,其他
62,入出國管理機關廢止原禁止出國處分。,
63,第 13 條,
64,1   事業單位代表人及實際負責人於有本法第十二條第一項之情形時，中央主管機關得先請入出國管,其他
65,理機關禁止其出國，但須於作出處分後二日內召開審查會審查追認。,
66,2   前項處分，經決議不應禁止出國者，中央主管機關應即請入出國管理機關撤銷禁止出國案件。,
67,第 14 條,
68,本辦法自發布日施行。,
1,法規名稱：育嬰留職停薪實施辦法,假別
2,修正日期：民國 113 年 01 月 04 日,
3,第 1 條,
4,本辦法依性別平等工作法第十六條第五項規定訂定之。,
5,第 2 條,
6,1   受僱者申請育嬰留職停薪，應於十日前以書面向雇主提出。,
7,2   前項書面應記載下列事項：,
8,一、姓名、職務。,
9,二、留職停薪期間之起訖日。,
10,三、子女之出生年、月、日。,
11,四、留職停薪期間之住居所、聯絡電話。,
12,五、是否繼續參加社會保險。,
13,3   前項育嬰留職停薪期間，每次以不少於六個月為原則。但受僱者有少於六個月之需求者，得以不,
14,低於三十日之期間，向雇主提出申請，並以二次為限。,
15,第 3 條,
16,受僱者於申請育嬰留職停薪期間，得與雇主協商提前或延後復職。,
17,第 4 條,
18,育嬰留職停薪期間，除勞雇雙方另有約定外，不計入工作年資計算。,
19,第 5 條,
20,育嬰留職停薪期間，受僱者欲終止勞動契約者，應依各相關法令之規定辦理。,終止與解僱
21,第 6 條,
22,育嬰留職停薪期間，雇主得僱用替代人力，執行受僱者之原有工作。,
23,第 7 條,
24,受僱者於育嬰留職停薪期間，不得與他人另訂勞動契約。,契約與聘僱關係
25,第 8 條,
26,受僱者育嬰留職停薪期間，雇主應隨時與受僱者聯繫，告知與其職務有關之教育訓練訊息。,
27,第 9 條,
28,1   本辦法自發布日施行。,
29,2   本辦法中華民國一百十年六月四日修正發布之條文，自一百十年七月一日施行；一百十一年一月,
30,十八日修正發布之條文，自一百十一年一月十八日施行。,
1,1,
2,勞動基準法Q&A,
3,【工資】,薪資
4,Q：什麼是工資？加班費、業績獎金、年終獎金是工資嗎？,薪資
5,A：所謂「工資」，係指勞工因工作獲得之經常性給與；一般而言，須具備以下兩要件：,薪資
6,1.勞務對價性：即給與是否構成勞務的對價。,
7,2.經常性給與：未必與時間上之經常性有關，係指制度上之經常性，如根據事業單位之制度,
8,（如勞動契約、工作規則、團體協約或企業內習慣），雇主有向勞工給付的義務時，即屬,契約與聘僱關係
9,經常性給與。該給付之支付對勞資雙方而言，具有一定之可預見性；對勞工而言，與其他,
10,勞務對價之給與無明顯差別。,
11,試舉常見的工資名目加以說明：,薪資
12,1.加班費：延長工時工資為勞工因工作所獲得之報酬，事業單位與勞工訂立之勞動契約或公,薪資
13,開揭示之工作規則通常訂有支付標準，依法亦不得低於勞動基準法,
14,所定標準，屬工,
15,資。,
16,2.業績獎金、績效獎金：若依據勞工的工作成果而發放（具備勞務對價性），事業單位內部,
17,亦訂有支付標準（根據績效達成率發放）及期限（每月發放），屬工資。,薪資
18,3.年終獎金：年終獎金的發放義務若明訂於個別勞動契約或公開揭示的工作規則，並有約定,薪資
19,發放月數（固定2 個月）及支付標準（發放時在職），已具有制度經常性，亦難認未與勞,
20,務對價相關，自屬工資。,薪資
21,Q：以當月日曆天數計算給薪為日薪或月薪？,
22,A：所謂日薪制係指按「日」計薪，即依勞工與雇主約定之每日工資按「實際工作日數」計算,薪資
23,（未含法定休假日工資）；月薪制即指按「月」計薪，依勞雇雙方約定之每月工資按「月」給,薪資
24,付（含休息日、例假日及法定休假日工資）。如勞雇雙方約定的計薪方式，係以「當月日曆,薪資
25,天數(如大月31 日或小月30 日)」計算，因薪資有包含休息日、例假日及法定休假日工資，,薪資
26,可認屬月薪制。,
27,Q：月薪制勞工平日每小時工資額如何計算？,薪資
28,A：月薪總額除以30再除以8核計【勞動部（即前行政院勞工委員會）96年8月7日勞動2字,
29,0960130677號函釋參照】。,
30,Q：證照津貼是否應納入平均每小時工資額？,薪資
31,A：,
32,1.勞動基準法（下稱勞基法）,
33,第3款規定：「工資：謂勞工因工作而獲得之報酬；包括,薪資
34,工資、薪金及按計時、計日、計月、計件以現金或實物等方式給付之獎金、津貼及其他任,薪資
35,何名義之經常性給與均屬之。」按目前司法實務對於「工資」之見解，係以該工資給付之,薪資
36,實際性質是否具有「勞務對價性」及「經常性」為判斷。,
37,"2.若公司為鼓勵員工考取證照，於員工考取證照「當月」發給獎金1,000 元至3,000 元不",
38,等，可認係雇主單方具有勉勵、恩惠性質之給與，非屬勞工因工作而獲得之報酬，允不認,
39,屬工資；惟若該項獎金若為每月定額發給，發放條件具有制度經常性者（即基於勞動契,薪資
40,約、工作規則或事業單位之習慣，雇主有支付勞工的義務時），因該項獎金之支付對勞資雙,
41,2,
42,方而言，具有一定之可預見性；對勞工而言，亦與其他勞務對價之給與無明顯差別者，應,
43,認係工資之一部，於核算平日每小時工資額時，應納入工資總額計算。,薪資
44,Q：平均工資如何計算？,薪資
45,A：所謂「平均工資」，係指計算事由發生之當日前6 個月內所得工資總額除以該期間之總日數,薪資
46,所得金額（俗稱日平均工資）（勞動基準法第2 條第4 款前段規定參照）。,薪資
47,Q：工資折半發給或不發給期間於辦理資遣或退休時，是否應列入平均工資計算？,薪資
48,A：計算平均工資時，下列各款期日或期間均不計入：,薪資
49,1.發生計算事由之當日。,
50,2.因職業災害尚在醫療中者。,
51,3.依本法第五十條第二項減半發給工資者(即工作年資未滿6 個月，休半薪產假之勞工)。,薪資
52,4.雇主因天災、事變或其他不可抗力而不能繼續其事業，致勞工未能工作者。,
53,5.依勞工請假規則請普通傷病假者。,
54,6.依性別平等工作法請生理假、產假、家庭照顧假或安胎休養，致減少工資者。,薪資
55,7.留職停薪者。,
56,Q：國外出差費是否列入平均工資之計算基礎？,薪資
57,A：國外出差費是否列入平均工資之計算基礎，應視國外出差費之性質而定，如國外出差費係屬,薪資
58,差旅費、差旅津貼或交際費，因不具備勞務對價性，非屬工資，得不列入計算平均工資（勞,薪資
59,動基準法施行細則第10 條第9 款規定參照）。,
60,Q：按時計酬（或按日計酬）之部分工時勞工，如例假及休息日未出勤，雇主是否應另外加給休,薪資
61,息日工資？,薪資
62,A：,
63,1. 勞動基準法並未排除按時計酬者適用休息日工資照給之規定。基本工資審議委員會在審,薪資
64,議每小時基本工資時，已考量部分工時工作之特性，將例假日及休息日應獲得之工資，,薪資
65,納入計算；易言之，按時計酬者享有例假及休息日照給工資之權利，該工資已分別折算,薪資
66,到「每小時基本工資」中。,薪資
67,2. 按時計酬者，勞資雙方如以不低於183 元約定每小時工資額(114 年1 月1 日起不得低於,薪資
68,190 元)，其實就已經給付了勞動基準法第39 條所定例假日及休息日照給之工資，遇到例,薪資
69,假或休息日未出勤，毋須再行加給。,薪資
70,3. 至於按日計酬約定之日薪，於法定正常工作時間內，如不低於每小時基本工資數額乘以,薪資
71,工作時數之金額，比照按時計酬者辦理。,
72,Q：保全員的薪資該如何計算？,
73,A：,
74,1,
75,勞動基準法（以下簡稱勞基法）,
76,之1規定略以，經中央主管機關核定之工作者,
77,（如保全人員），其工作時間、例假、休假等事項得由勞雇雙方另行以書面約定，並報,
78,請當地主管機關核備後，不受同法,
79,、,
80,、,
81,、,
82,、,
83,規定之限,
84,制。,
85,2,
86,依勞動部（即前行政院勞工委員會）101年5月22日勞動2字第1010131405號函釋意旨，,
87,勞基法,
88,所稱基本工資，係指勞工在法定正常工作時間所得之報酬，目前月平均法,薪資
89,定正常工時調整為174小時【即(52週*40小時+8小時)/12個月】，勞雇雙方所約定的正,
90,3,
91,常工作時間如超出法定正常工時者，基本工資應按所增加的工作時間比例遞增；另延長,薪資
92,工時工資則依勞基法,薪資
93,規定辦理。,
94,3,
95,"自113年1月1日起，每月基本工資數額調整至27,470元。以約定按月計酬、每月正常工",薪資
96,時240小時及延長工時24小時(即每班工時為11小時，正常工時10小時連同延長工時 1小,
97,"時)為例，基本工資為35,025元【27,470+(27,470/30/8)*(240小時-174小時）】，延長",薪資
98,"工時工資應為3,663元（27,470/30/8)*4/3*24小時）。",薪資
99,113 年適用勞基法84 條之1 保全員基本工資試算表,薪資
100,年,
101,度,
102,勞基法第84 條之1 工時及休假,
103,薪資計算,
104,113,
105,例假及,
106,免出勤日,
107,之總和,
108,(註1),
109,大/小,
110,月,
111,上班,
112,天數,
113,正常工,
114,時時數,
115,加班工時,
116,時數,
117,最低基本,
118,工資(註,薪資
119,6),
120,延長工時工,
121,資,
122,合計,
123,10 日,
124,小,
125,20,
126,200,
127,20,
128,"30,446",
129,"3,053",
130,"33,499",
131,大,
132,21,
133,210,
134,21,
135,"31,591",
136,"3,205",
137,"34,796",
138,9 日,
139,小,
140,21,
141,210,
142,21,
143,"31,591",
144,"3,205",
145,"34,796",
146,大,
147,22,
148,220,
149,22,
150,"32,736",
151,"3,358",
152,"36,094",
153,8 日,
154,小,
155,22,
156,220,
157,22,
158,"32,736",
159,"3,358",
160,"36,094",
161,大,
162,23,
163,230,
164,23,
165,"33,880",
166,"3,511",
167,"37,391",
168,7 日,
169,小,
170,23,
171,230,
172,23,
173,"33,880",
174,"3,511",
175,"37,391",
176,大,
177,24,
178,240,
179,24,
180,"35,025",
181,"3,663",
182,"38,688",
183,6 日,
184,小,
185,24,
186,240,
187,24,
188,"35,025",
189,"3,663",
190,"38,688",
191,大,
192,25,
193,240,
194,(註2),
195,24+1 天全,
196,日加班,
197,(註3),
198,"35,025",
199,"5,686",
200,"40,711",
201,註1：勞基法第35 條規定：「勞工繼續工作4 小時，至少應有30 分鐘休息」，因此本表係,工時
202,以每日正常工時10 小時+延長工時1 小時為計算基礎；本表例假/免出勤日數未包含,
203,國定假日(即須另給國定假日)。,
204,註2：超過約定240 小時部分以加班時數計。,
205,註3：(24 天每日加班1 小時)+(第25 天前2 小時加班) + (第25 天後9 小時加班)。,
206,"註4：以現行法定基本工資2 萬7,470 元為基準，平日每小時工資額為114.4583 元，即2",薪資
207,"萬7,470 元/ (8 小時*30 日)=114.4583 元。",
208,註5：以現行單週法定正常工時40 小時為基準，月平均工時為174 小時，即(52 週*40 小,
209,時+8)/12 個月=174 小時。,
210,註6：最低基本工資=基本工資+(正常工時時數-月平均工時)*平日每小時工資額，以正常,薪資
211,"工時時數240 小時為例，最低基本工資為2 萬7,470 元+(240-174)*114.4583 元=3",薪資
212,"萬5,025 元，「薪資計算」使用無條件進入法取到整數。",
213,4,
214,113 年適用勞基法84 條之1 保全員基本工資試算表,薪資
215,年,
216,度,
217,勞基法第84 條之1 工時及休假,
218,薪資計算,
219,113,
220,例假、免,
221,出勤日及,
222,休假日之,
223,總和,
224,(註1),
225,大/,
226,小月,
227,當月日數之性質,
228,正常,
229,工時,
230,時數,
231,加班工時,
232,時數,
233,最低基,
234,本工資,薪資
235,(註7),
236,延長工,
237,時工資,薪資
238,合計,
239,例,
240,假,
241,及,
242,免,
243,出,
244,勤,
245,日,
246,數,
247,休假,
248,日數,
249,(註,
250,2),
251,上,
252,班,
253,天,
254,數,
255,10 日(含1,
256,日休假日),
257,小,
258,9,
259,1,
260,20,
261,210,
262,20,
263,"31,591",
264,"3,053",
265,"34,644",
266,大,
267,9,
268,1,
269,21,
270,220,
271,21,
272,"32,736",
273,"3,205",
274,"35,941",
275,9 日(含1,
276,日休假日),
277,小,
278,8,
279,1,
280,21,
281,220,
282,21,
283,"32,736",
284,"3,205",
285,"35,941",
286,大,
287,8,
288,1,
289,22,
290,230,
291,22,
292,"33,880",
293,"3,358",
294,"37,238",
295,8 日(含1,
296,日休假日),
297,小,
298,7,
299,1,
300,22,
301,230,
302,22,
303,"33,880",
304,"3,358",
305,"37,238",
306,大,
307,7,
308,1,
309,23,
310,240,
311,23,
312,"35,025",
313,"3,511",
314,"38,536",
315,7 日(含1,
316,日休假日),
317,小,
318,6,
319,1,
320,23,
321,240,
322,23,
323,"35,025",
324,"3,511",
325,"38,536",
326,大,
327,6,
328,1,
329,24,
330,240,
331,23+1 天全,
332,日加班(註,
333,4),
334,"35,025",
335,"5,534",
336,"40,559",
337,6 日(含1,
338,日休假日),
339,小,
340,5,
341,1,
342,24,
343,240,
344,23+1 天全,
345,日加班(註,
346,4),
347,"35,025",
348,"5,534",
349,"40,559",
350,大,
351,5,
352,1,
353,25,
354,240,
355,23+2 天全,
356,日加班(註,
357,3),
358,"35,025",
359,"7,557",
360,"42,582",
361,註1：勞基法第35 條規定：「勞工繼續工作4 小時，至少應有30 分鐘休息」，因此本表係,工時
362,以每日正常工時10 小時+延長工時1 小時為計算基礎；休假日係指勞基法第37 條所,
363,定12 日國定假日；「(含1 日休假日)」係指與勞工約定將勞基法第37 條所定12 日,
364,國定假日調移於每月實施1 日。,
365,註2：由於勞基法第37 條所定國定假日僅能在勞雇雙方約定工作日實施，如每月排休1 日,
366,國定假日，該國定假日仍應計入工作日數，且工資照給。當月日曆數扣除例假、免,薪資
367,出勤日及正常工時工作日(即24 日)之總和後，即為加班天數。,
368,註3：(23 天每日加班1 小時)+(第24 天及第25 天前2 小時加班) + (第24 天及第25 天,
369,5,
370,後9 小時加班)。,
371,註4：(23 天每日加班1 小時)+(第24 天前2 小時加班) + (第24 天後9 小時加班)。,
372,"註5：以現行法定基本工資2 萬7,470 元為基準，平日每小時工資額為114.4583 元，即2",薪資
373,"萬7,470 元/ (8 小時*30 日)=114.4583 元。",
374,註6：以現行單週法定正常工時40 小時為基準，月平均工時為174 小時，即(52 週*40 小,
375,時+8)/12 個月=174 小時。,
376,註7：最低基本工資=基本工資+(正常工時時數-月平均工時)*平日每小時工資額，以正常,薪資
377,"工時時數240 小時為例，最低基本工資為2 萬7,470 元+(240-174)*114.4583 元=3",薪資
378,"萬5,025 元，「薪資計算」使用無條件進入法取到整數。",
379,113 年適用勞基法84 條之1 保全員基本工資試算表,薪資
380,年,
381,度,
382,勞基法第84 條之1 工時及休假,
383,薪資計算,
384,113,
385,例假及,
386,免出勤日,
387,之總和,
388,(註1),
389,大/小,
390,月,
391,上班,
392,天數,
393,正常工,
394,時時數,
395,加班工時,
396,時數,
397,最低基本,
398,工資(註,薪資
399,6),
400,延長工時工,
401,資,
402,合計,
403,10 日,
404,小,
405,20,
406,200,
407,40,
408,"30,446",
409,"6,105",
410,"36,551",
411,大,
412,21,
413,210,
414,42,
415,"31,591",
416,"6,410",
417,"38,001",
418,9 日,
419,小,
420,21,
421,210,
422,42,
423,"31,591",
424,"6,410",
425,"38,001",
426,大,
427,22,
428,220,
429,44,
430,"32,736",
431,"6,715",
432,"39,451",
433,8 日,
434,小,
435,22,
436,220,
437,44,
438,"32,736",
439,"6,715",
440,"39,451",
441,大,
442,23,
443,230,
444,46,
445,"33,880",
446,"7,021",
447,"40,901",
448,7 日,
449,小,
450,23,
451,230,
452,46,
453,"33,880",
454,"7,021",
455,"40,901",
456,大,
457,24,
458,240,
459,48,
460,"35,025",
461,"7,326",
462,"42,351",
463,6 日,
464,小,
465,24,
466,240,
467,48,
468,"35,025",
469,"7,326",
470,"42,351",
471,大,
472,25,
473,240,
474,(註2),
475,48+1 天全,
476,日加班,
477,(註3),
478,"35,025",
479,"9,539",
480,"44,564",
481,註1：本表係以每日正常工時10 小時+延長工時2 小時為計算基礎，惟此已違反勞基法第,
482,35 條規定：「勞工繼續工作4 小時，至少應有30 分鐘休息」；本表例假/免出勤日數,工時
483,未包含國定假日(即須另給國定假日)。,
484,註2：超過約定240 小時部分以加班時數計。,
485,註3：(24 天每日加班2 小時)+(第25 天前2 小時加班) + (第25 天後10 小時加班)。,
486,"註4：以現行法定基本工資2 萬7,470 元為基準，平日每小時工資額為114.4583 元，即2",薪資
487,"萬7,470 元/(8 小時*30 日)=114.4583 元。",
488,註5：以現行單週法定正常工時40 小時為基準，月平均工時為174 小時，即(52 週*40 小,
489,6,
490,時+8)/12 個月=174 小時。,
491,註6：最低基本工資=基本工資+(正常工時時數-月平均工時)*平日每小時工資額，以正常,薪資
492,"工時時數240 小時為例，最低基本工資為2 萬7,470 元+(240-174)*114.4583 元=3",薪資
493,"萬5,025 元，「薪資計算」使用無條件進入法取到整數。",
494,註7：灰底部分除違反勞動基準法第35 條規定外，同時違反同法第32 條第2 項規定。,
495,113 年適用勞基法84 條之1 保全員基本工資試算表,薪資
496,年,
497,度,
498,勞基法第84 條之1 工時及休假,
499,薪資計算,
500,113,
501,例假、免,
502,出勤日及,
503,休假日之,
504,總和,
505,(註1),
506,大/,
507,小月,
508,當月日數之性質,
509,正常,
510,工時,
511,時數,
512,加班工時,
513,時數,
514,最低基,
515,本工資,薪資
516,(註7),
517,延長工,
518,時工資,薪資
519,合計,
520,例,
521,假,
522,及,
523,免,
524,出,
525,勤,
526,日,
527,數,
528,休假,
529,日數,
530,(註,
531,2),
532,上,
533,班,
534,天,
535,數,
536,10 日(含1,
537,日休假日),
538,小,
539,9,
540,1,
541,20,
542,210,
543,40,
544,"31,591",
545,"6,105",
546,"37,696",
547,大,
548,9,
549,1,
550,21,
551,220,
552,42,
553,"32,736",
554,"6,410",
555,"39,146",
556,9 日(含1,
557,日休假日),
558,小,
559,8,
560,1,
561,21,
562,220,
563,42,
564,"32,736",
565,"6,410",
566,"39,146",
567,大,
568,8,
569,1,
570,22,
571,230,
572,44,
573,"33,880",
574,"6,715",
575,"40,595",
576,8 日(含1,
577,日休假日),
578,小,
579,7,
580,1,
581,22,
582,230,
583,44,
584,"33,880",
585,"6,715",
586,"40,595",
587,大,
588,7,
589,1,
590,23,
591,240,
592,46,
593,"35,025",
594,"7,021",
595,"42,046",
596,7 日(含1,
597,日休假日),
598,小,
599,6,
600,1,
601,23,
602,240,
603,46,
604,"35,025",
605,"7,021",
606,"42,046",
607,大,
608,6,
609,1,
610,24,
611,240,
612,46+1 天全,
613,日加班(註,
614,4),
615,"35,025",
616,"9,234",
617,"44,259",
618,6 日(含1,
619,日休假日),
620,小,
621,5,
622,1,
623,24,
624,240,
625,46+1 天全,
626,日加班(註,
627,4),
628,"35,025",
629,"9,234",
630,"44,259",
631,大,
632,5,
633,1,
634,25,
635,240,
636,46+2 天全,
637,日加班(註,
638,3),
639,"35,025 11,447 46,472",
640,註1：本表係以每日正常工時10 小時+延長工時2 小時為計算基礎，惟此已違反勞基法第,
641,35 條規定：「勞工繼續工作4 小時，至少應有30 分鐘休息」；休假日係指勞基法第,工時
642,7,
643,37 條所定12 日國定假日；「(含1 日休假日)」係指與勞工約定將勞基法第37 條所,
644,定12 日國定假日調移於每月實施1 日。,
645,註2：由於勞基法第37 條所定國定假日僅能在勞雇雙方約定工作日實施，如每月排休1 日,
646,國定假日，該國定假日仍應計入工作日數，且工資照給。當月日曆數扣除例假、免,薪資
647,出勤日及正常工時工作日(即24 日)之總和後，即為加班天數。,
648,註3：(23 天每日加班2 小時)+(第24 天及第25 天前2 小時加班) + (第24 天及第25 天,
649,後10 小時加班)。,
650,註4：(23 天每日加班2 小時)+(第24 天前2 小時加班) + (第24 天後10 小時加班)。,
651,"註5：以現行法定基本工資2 萬7,470 元為基準，平日每小時工資額為114.4583 元，即2",薪資
652,"萬7,470 元/(8 小時*30 日)=114.4583 元。",
653,註6：以現行單週法定正常工時40 小時為基準，月平均工時為174 小時，即(52 週*40 小,
654,時+8)/12 個月=174 小時。,
655,註7：最低基本工資=基本工資+(正常工時時數-月平均工時)*平日每小時工資額，以正常,薪資
656,"工時時數240 小時為例，最低基本工資為2 萬7,470 元+(240-174)*114.4583 元=3",薪資
657,"萬5,025 元，「薪資計算」使用無條件進入法取到整數。",
658,註8：灰底部分除違反勞動基準法第35 條規定外，同時違反同法第32 條第2 項規定。,
659,Q：勞動基準法第23 條第1 項規定，雇主應提供工資各項目計算方式明細，目的為何?「工資各,薪資
660,項目計算方式明細」應記載哪些項目？,
661,A：,
662,1. 為促進勞工對工資發放內容的瞭解及解決勞雇間是否有短付工資等爭議，勞動基準法規,
663,範雇主必須提供勞工各項工資的計算明細(等同創設勞工要求雇主提供薪資單的權利)。,
664,2. 依勞動基準法施行細則,
665,之1規定，所謂「工資各項目計算方式明細」應包括：,
666,(1)勞雇雙方議定之工資總額。,
667,(2)工資各項目之給付金額。,
668,(3)依法令規定或勞雇雙方約定，得扣除項目之金額。,
669,(4)實際發給之金額。,
670,Q：雇主對受僱者請產檢假得否扣發全勤獎金？,
671,A：依據性別平等工作法第21 條第2 項規定，受僱者依第15 條規定提出產檢假之請求時，雇主,
672,不得視為缺勤而影響其全勤獎金、考績或為其他不利之處分；請求生理假、產假、陪產檢及陪,假別
673,產假、 育嬰留職停薪、家庭照顧假或哺集乳時間，亦同。若有違反，依同法第38 條規定，可,
674,處新臺幣2 萬元以上30 萬元以下罰鍰，並公布名稱及負責人姓名；若雇主因此扣發全勤獎金，,
675,依勞動基準法第79 條第1 第1 款及第80 條之1 規定，可處新臺幣2 萬元以上100 萬元以下罰,
676,鍰，並公布名稱、負責人姓名、處分期日、違反條文及罰鍰金額。,
677,Q：勞工若無法配合加班，扣發全勤獎金疑義？,
678,A：依據內政部76 年1 月15 日(76)台內勞字第463894 號函：「勞工因故無法於延長工作時間內,
679,工作，雇主不應作為扣發其全勤獎金之依據。」，另內政部76 年1 月15 日(76)台內勞字第,
680,468376 號函：「勞動基準法第37 條明定紀念日、勞動節日及其他由中央主管機關規定應放假,
681,之日，係勞工法定權益，勞工於上述放假期間不同意照常工作，雇主不應作為扣發全勤獎金,
682,之依據。」,
683,8,
684,Q：雇主應提撥的6%新制退休金，可否直接從勞工薪資內扣除？,
685,A：不可以。依勞工退休金條例第14 條第1 項及第36 條第1 項規定：「雇主每月負擔之勞工退,
686,休金提繳率，不得低於勞工每月工資6%。」此一規定係要求雇主須於勞雇雙方原議定發給之,
687,工資以外，另行為勞工提繳不低於每月工資6%的個人專戶退休金或年金保險費，而非將前述,
688,提繳之數額「內含於勞雇雙方原本已議定之工資」，造成工資不完全給付勞工之情事。,
689,Q：勞工月中請育嬰假，全勤獎金需要按比例給嗎？,
690,A：依據性別平等工作法,
691,第2項規定，勞工請育嬰假留職停薪期間，雇主不得視為缺勤而,
692,影響其全勤獎金、考績或為其他不利之處分。按育嬰留職停薪係勞動契約暫時中止履行的狀,薪資
693,態，勞工依法免除該期間的出勤義務，雇主不須給付該期間工資。因此倘勞雇雙方約定之工資,
694,項目有全勤獎金，雇主針對勞工育嬰留職停薪全月未出勤期間，不須給付全勤獎金，但針對勞,
695,工育嬰留職停薪前後未足月提供勞務之期間，雇主仍應依勞工出勤天數比例發給全勤獎金(勞動,
696,部104年5月27日勞動條4字第1040130878號函釋參照)。若雇主未按比例發給，依勞動基準法第,
697,79條第1項第1款及,
698,之1規定，可處新臺幣2萬元以上100萬元以下罰鍰，並公布名稱、負責,
699,人姓名、處分期日、違反條文及罰鍰金額。,
700,Q：公司是否得片面變更工資金額？,
701,A：依勞動基準法第21 條第1 項規定：「工資由勞雇雙方議定之。但不得低於基本工資。」因,
702,此，雇主如欲變更勞工的工資金額或計薪方式等，因涉及勞動契約之變更，應經勞資雙方合,薪資
703,意。上述薪資變更合意在不違反強制或禁止規定的情形下，應屬有效，並可拘束勞雇雙方。,
704,惟為免滋生爭議，前開勞動條件的變更，雖不以書面為要件，仍建議雇主以書面方式與勞工,
705,協商變更；雇主若未取得勞工同意，尚不得片面逕自變更。,
706,Q：勞工未辦理交接手續就離職，公司可以扣發薪水嗎？,
707,A：,
708,1.勞工離職時履行交接之義務屬勞動契約之附隨義務，如勞工未依規定辦理離職交接手續，,契約與聘僱關係
709,致雇主受有損害時，雇主得透過訴訟請求損害賠償，惟不得行使民法,
710,所規定之同,
711,時履行抗辯權，逕自扣發勞工薪資。,
712,2.因此，雇主如以勞工未完成交接為由扣發勞工薪資，將有違反勞動基準法第22 條規定之,
713,虞，依同法第79 條第1 項第1 款及第80 條之1 規定，可處新臺幣2 萬元以上100 萬元以,
714,下罰鍰，並公布名稱、負責人姓名、處分期日、違反條文及罰鍰金額。,
715,Q：勞工依法辦理離職，公司可否扣留當月份工資?,
716,A：依勞動基準法施行細則第9 條規定：「依本法終止勞動契約時，雇主應即結清工資給付勞,終止與解僱
717,工」。且依勞動基準法第22 條第2 項：「工資應全額直接給付勞工。」及第26 條：「雇主不,
718,得預扣勞工工資作為違約金或賠償費用」。故公司如因員工離職造成損失，應另循司法途徑,
719,求償，不可扣留員工工資。,
720,Q：事業單位可否預扣勞工薪資作為賠償或違約金嗎?,
721,A：依行政院勞工委員會(現改制為勞動部)89 年7 月28 日(89)台勞動2 字第0031343 號函：「依,
